symbol,spam,ham,spam_perc
subject,2,0,1.0
attention,1,0,1.0
instant,4,0,1.0
internet,17,2,0.8947368421052632
business,27,0,1.0
1848qgmtl8,1,0,1.0
free,78,3,0.9629629629629629
adult,8,0,1.0
videos,2,0,1.0
yyyy@netnoteinccom,5,0,1.0
id,2,0,1.0
wmcn,1,0,1.0
attn,8,0,1.0
systemworks,18,0,1.0
clearance,13,0,1.0
sale_only,5,0,1.0
wives,2,0,1.0
girlfriends,2,0,1.0
cheating,2,0,1.0
whoring,2,0,1.0
around,4,0,1.0
men,5,1,0.8333333333333334
&,12,1,0.9230769230769231
women,5,1,0.8333333333333334
spruce,1,0,1.0
sex,3,0,1.0
life,24,2,0.9230769230769231
ewfxv,1,0,1.0
company,6,1,0.8571428571428571
sales,7,1,0.875
sky,1,0,1.0
rocket,1,0,1.0
preferred,1,0,1.0
nonsmoker,1,0,1.0
rates,29,0,1.0
smokers,1,0,1.0
rpmzzzlist@freshrpmsnet,0,1,0.0
new,17,14,0.5483870967741935
gunner,0,1,0.0
gilberto,0,1,0.0
quick,1,1,0.5
earn,12,1,0.9230769230769231
stripes,0,1,0.0
special,4,0,1.0
report,2,2,0.5
tivo,1,0,1.0
never,5,0,1.0
meet,0,2,0.0
carol,0,1,0.0
ann,0,2,0.0
duffy,0,1,0.0
oracle,0,1,0.0
technology,0,1,0.0
network,0,2,0.0
techblast,0,1,0.0
july,4,2,0.6666666666666666
sa,3,1,0.75
chuong,1,0,1.0
trinh,1,0,1.0
khuyen,1,0,1.0
mai,1,0,1.0
back,7,1,0.875
school,0,1,0.0
buy4now,0,1,0.0
application,5,0,1.0
below,4,0,1.0
expires,4,0,1.0
re,40,158,0.20202020202020202
snag,0,1,0.0
ware,0,1,0.0
membership,9,0,1.0
exchange,2,0,1.0
advance,1,0,1.0
career,2,0,1.0
great,12,1,0.9230769230769231
job,2,0,1.0
got,6,0,1.0
plans,2,0,1.0
tonight,1,0,1.0
medical,1,0,1.0
breakthough,1,0,1.0
cell,7,0,1.0
rejuvenation,1,0,1.0
secretly,2,0,1.0
record,2,1,0.6666666666666666
activity,2,0,1.0
any,12,0,1.0
computer,18,1,0.9473684210526315
bv,1,0,1.0
our,5,2,0.7142857142857143
magazine,1,0,1.0
promotion,1,0,1.0
java,0,5,0.0
kiddies,0,5,0.0
top,3,0,1.0
seed,1,0,1.0
574a,1,0,1.0
gov,0,1,0.0
gets,0,1,0.0
tough,0,1,0.0
net,2,2,0.5
userser,0,1,0.0
pirates,0,1,0.0
order,2,0,1.0
viagra,10,0,1.0
weightloss,2,0,1.0
here,20,2,0.9090909090909091
6117kfvc59,1,0,1.0
promote,5,0,1.0
ilug,22,29,0.43137254901960786
modem,0,1,0.0
problems,1,2,0.3333333333333333
ebusiness,2,1,0.6666666666666666
jdnhd,1,0,1.0
cnet,0,5,0.0
digital,2,3,0.4
dispatch,0,2,0.0
mac,0,1,0.0
zealots,0,1,0.0
unite,0,1,0.0
6%,2,0,1.0
commission,8,0,1.0
month,8,2,0.8
cdstyle,1,0,1.0
annuity,5,0,1.0
help,14,2,0.875
wanted,6,0,1.0
work,14,0,1.0
home,33,0,1.0
info,8,0,1.0
bank,2,0,1.0
error,2,1,0.6666666666666666
favor,2,0,1.0
sadev,0,7,0.0
scoring,0,2,0.0
yahoo,0,6,0.0
ads,1,2,0.3333333333333333
brand,2,0,1.0
opportunity,8,0,1.0
lrmjq,1,0,1.0
teach,3,0,1.0
grow,6,0,1.0
rich,3,0,1.0
adv,40,0,1.0
extended,7,0,1.0
auto,8,0,1.0
warranties,6,0,1.0
aanfh,1,0,1.0
norton,11,0,1.0
sale,11,0,1.0
vojtgt,1,0,1.0
interest,7,0,1.0
slashed,5,0,1.0
dont,16,0,1.0
wait,5,0,1.0
xoxun,2,0,1.0
sparc,0,3,0.0
solaris,0,3,0.0
dell,0,6,0.0
gx260,0,5,0.0
v,0,5,0.0
redhat,0,5,0.0
makethousands,1,0,1.0
per,11,0,1.0
weekrunning,1,0,1.0
own,14,0,1.0
web,10,5,0.6666666666666666
competitive,1,0,1.0
mortgage,37,0,1.0
repository,0,1,0.0
online,15,0,1.0
approval,3,0,1.0
create,4,0,1.0
paycheck,4,0,1.0
enjoy,3,0,1.0
cheap,4,0,1.0
isp,3,0,1.0
shopping,4,0,1.0
discount,3,0,1.0
glennf,0,1,0.0
responds,0,1,0.0
warchalking,0,1,0.0
fud,0,1,0.0
quotes,3,0,1.0
kime,1,0,1.0
oy,1,0,1.0
vereceksiniz,1,0,1.0
half,3,0,1.0
price,7,0,1.0
cigarettes,5,0,1.0
tobacco,5,0,1.0
blessing,2,0,1.0
vfafu,2,0,1.0
i,13,4,0.7647058823529411
moment,2,1,0.6666666666666666
